TimeStamp, Temperature, Pressure, Humidity, Wind Speed,  Wind direction
 2021/10/23 9:47:42, 15.93, 60.91, 1001.54, 0.0, 4.0
 2021/10/23 9:47:43, 15.93, 60.92, 1001.55, 0.0, 2.0
 2021/10/23 9:47:44, 15.92, 60.96, 1001.53, 0.0, 1.0
 2021/10/23 9:47:45, 15.94, 60.92, 1001.55, 0.0, 2.0
 2021/10/23 9:47:46, 15.94, 60.9, 1001.54, 0.0, 2.0
 2021/10/23 9:47:47, 15.94, 60.91, 1001.53, 0.0, 2.0
 2021/10/23 9:47:48, 15.95, 60.91, 1001.57, 0.0, 3.0
 2021/10/23 9:47:49, 15.95, 60.94, 1001.54, 0.0, 2.0
 2021/10/23 9:47:50, 15.96, 61.04, 1001.53, 0.0, 3.0
 2021/10/23 9:47:51, 15.97, 61.11, 1001.54, 0.0, 4.0
 2021/10/23 9:47:52, 15.97, 61.13, 1001.54, 0.0, 3.0
 2021/10/23 9:47:53, 15.98, 61.13, 1001.54, 0.0, 4.0
 2021/10/23 9:47:54, 15.99, 61.11, 1001.57, 0.0, 3.0
 2021/10/23 9:47:55, 15.97, 61.09, 1001.51, 0.0, 5.0
 2021/10/23 9:47:56, 15.99, 60.98, 1001.56, 0.0, 3.0
 2021/10/23 9:47:57, 15.99, 60.84, 1001.56, 0.0, 2.0
 2021/10/23 9:47:58, 15.97, 60.72, 1001.52, 0.0, 2.0
 2021/10/23 9:47:59, 15.99, 60.6, 1001.56, 0.0, 2.0
 2021/10/23 9:48:0, 15.98, 60.47, 1001.56, 0.0, 1.0
 2021/10/23 9:48:1, 15.99, 60.34, 1001.58, 0.0, 2.0
 2021/10/23 9:48:2, 15.99, 60.21, 1001.55, 0.0, 1.0
 2021/10/23 9:48:3, 15.99, 60.06, 1001.52, 0.0, 2.0
 2021/10/23 9:48:4, 15.98, 60.02, 1001.55, 0.0, 3.0
 2021/10/23 9:48:5, 15.99, 59.9, 1001.57, 0.0, 4.0
 2021/10/23 9:48:6, 15.97, 59.81, 1001.57, 0.0, 3.0
 2021/10/23 9:48:7, 15.97, 59.75, 1001.56, 0.0, 2.0
 2021/10/23 9:48:8, 15.97, 59.67, 1001.55, 0.0, 4.0
 2021/10/23 9:48:9, 15.96, 59.59, 1001.53, 0.0, 3.0
 2021/10/23 9:48:10, 15.95, 59.47, 1001.56, 0.0, 2.0
 2021/10/23 9:48:11, 15.94, 59.35, 1001.54, 0.0, 2.0
 2021/10/23 9:48:12, 15.94, 59.29, 1001.57, 0.0, 3.0
 2021/10/23 9:48:13, 15.93, 59.19, 1001.55, 0.0, 4.0
 2021/10/23 9:48:14, 15.92, 59.14, 1001.56, 0.0, 2.0
 2021/10/23 9:48:15, 15.91, 59.08, 1001.56, 0.0, 3.0
 2021/10/23 9:48:16, 15.9, 59.08, 1001.56, 0.0, 1.0
 2021/10/23 9:48:17, 15.9, 59.09, 1001.59, 0.0, 2.0
 2021/10/23 9:48:18, 15.88, 59.06, 1001.6, 0.0, 2.0
 2021/10/23 9:48:19, 15.88, 59.09, 1001.56, 0.0, 2.0
 2021/10/23 9:48:20, 15.87, 59.06, 1001.55, 0.0, 2.0
 2021/10/23 9:48:21, 15.85, 59.04, 1001.58, 0.0, 1.0
 2021/10/23 9:48:22, 15.84, 59.06, 1001.54, 0.0, 3.0
 2021/10/23 9:48:23, 15.84, 59.06, 1001.57, 0.0, 2.0
 2021/10/23 9:48:24, 15.83, 59.06, 1001.58, 0.0, 1.0
 2021/10/23 9:48:25, 15.83, 59.04, 1001.59, 0.0, 4.0
 2021/10/23 9:48:26, 15.82, 58.99, 1001.56, 0.0, 2.0
 2021/10/23 9:48:27, 15.81, 58.93, 1001.6, 0.0, 2.0
 2021/10/23 9:48:28, 15.81, 58.91, 1001.61, 0.0, 2.0
 2021/10/23 9:48:29, 15.8, 58.95, 1001.58, 0.0, 3.0
 2021/10/23 9:48:30, 15.81, 58.97, 1001.64, 0.0, 2.0
 2021/10/23 9:48:39, 15.84, 58.9, 1001.54, 0.0, 2.0
 2021/10/23 9:48:40, 15.86, 58.89, 1001.58, 0.0, 4.0
 2021/10/23 9:48:41, 15.88, 58.88, 1001.55, 0.0, 3.0
 2021/10/23 9:48:42, 15.89, 58.86, 1001.56, 0.0, 1.0
 2021/10/23 9:48:43, 15.92, 58.85, 1001.57, 0.0, 2.0
 2021/10/23 9:48:44, 15.94, 58.84, 1001.59, 0.0, 2.0
 2021/10/23 9:48:45, 15.96, 58.84, 1001.59, 0.0, 1.0
 2021/10/23 9:48:46, 15.97, 58.84, 1001.59, 0.0, 4.0
 2021/10/23 9:48:47, 15.99, 58.82, 1001.58, 0.0, 1.0
